MouseID,Age,Folder,Experiment,Protocol,Sorting,Electrode
NK9,15,E:\,2020-10-01_13-04-06,Optotagging,0,OA1x32
NK12,16,E:\,2020-10-02_13-20-17,Baseline,0,OA1x32
NK12,16,E:\,2020-10-02_13-51-39,Optotagging,0,OA1x32
NK12,16,E:\,2020-10-02_13-55-46,VisualFlash_Opto,0,OA1x32
NK12,16,E:\,2020-10-02_14-40-11,Optotagging,0,OA1x32
NK32,11,Q:\InVivo_RawData,2020-11-18_12-26-00,Baseline,0,OA1x32
NK32,11,Q:\InVivo_RawData,2020-11-18_12-57-42,Optotagging,0,OA1x32
NK32,11,Q:\InVivo_RawData,2020-11-18_13-05-12,Failed,0,OA1x32
NK32,11,Q:\InVivo_RawData,2020-11-18_13-07-29,VisualFlash_Opto,0,OA1x32
NK32,11,Q:\InVivo_RawData,2020-11-18_14-19-14,Optotagging,0,OA1x32
NK33,11,Q:\InVivo_RawData,2020-11-18_13-45-41,Baseline,0,A1x32
NK33,11,Q:\InVivo_RawData,2020-11-18_14-17-25,Optotagging,0,A1x32
NK33,11,Q:\InVivo_RawData,2020-11-18_14-22-31,VisualFlash_Opto,0,A1x32
NK33,11,Q:\InVivo_RawData,2020-11-18_15-03-40,Optotagging,0,A1x32
NK35,12,Q:\InVivo_RawData,2020-11-19_11-58-45,Baseline,NaN,A1x32
NK35,12,Q:\InVivo_RawData,2020-11-19_13-01-43,VisualFlash_Opto,NaN,A1x32
NK37,12,Q:\InVivo_RawData,2020-11-19_13-00-42,Baseline,0,OA1x32
NK37,12,Q:\InVivo_RawData,2020-11-19_13-32-08,Optotagging,0,OA1x32
NK37,12,Q:\InVivo_RawData,2020-11-19_13-36-48,VisualFlash_Opto,0,OA1x32
NK37,12,Q:\InVivo_RawData,2020-11-19_14-19-53,Optotagging,0,OA1x32
NK38,12,Q:\InVivo_RawData,2020-11-19_15-57-00,Baseline,0,OA1x32
NK38,12,Q:\InVivo_RawData,2020-11-19_16-30-47,Optotagging,0,OA1x32
NK38,12,Q:\InVivo_RawData,2020-11-19_16-35-00,VisualFlash_Opto,0,OA1x32
NK38,12,Q:\InVivo_RawData,2020-11-19_17-16-06,Optotagging,0,OA1x32
NK39,15,Q:\InVivo_RawData,2020-12-03_12-53-01,Baseline,0,OA1x32
NK39,15,Q:\InVivo_RawData,2020-12-03_13-23-07,Optotagging,0,OA1x32
NK39,15,Q:\InVivo_RawData,2020-12-03_13-28-10,VisualFlash_Opto,0,OA1x32
NK39,15,Q:\InVivo_RawData,2020-12-03_14-10-21,Optotagging,0,OA1x32
