RecID,MouseID,Age,Folder,Experiment,Protocol,Use,
9,SC9,18,D:\6.InVivo_V1_SST;Ai32\SC9,2019-05-29_13-07-05,VisualFlash,1,
9,SC9,18,D:\6.InVivo_V1_SST;Ai32\SC9,2019-05-29_13-34-52,VisualFlash_Opto,2,
9,SC9,18,D:\6.InVivo_V1_SST;Ai32\SC9,2019-05-29_14-04-45,Optotagging,4,
9,SC9,18,D:\6.InVivo_V1_SST;Ai32\SC9,2019-05-29_14-07-22,Baseline_Opto,6,
10,SC10,18,D:\6.InVivo_V1_SST;Ai32\SC10,2019-05-29_15-28-07,Baseline,4,
10,SC10,18,D:\6.InVivo_V1_SST;Ai32\SC10,2019-05-29_15-49-03,Optotagging,3,
10,SC10,18,D:\6.InVivo_V1_SST;Ai32\SC10,2019-05-29_15-51-41,VisualFlash,1,
10,SC10,18,D:\6.InVivo_V1_SST;Ai32\SC10,2019-05-29_16-20-48,VisualFlash_Opto,2,
10,SC10,18,D:\6.InVivo_V1_SST;Ai32\SC10,2019-05-29_16-48-51,Baseline_Opto,5,
11,SC11,8,D:\6.InVivo_V1_SST;Ai32\SC11,2019-07-01_11-40-40,Baseline,5,
11,SC11,8,D:\6.InVivo_V1_SST;Ai32\SC11,2019-07-01_12-06-53,VisualFlash,1,
11,SC11,8,D:\6.InVivo_V1_SST;Ai32\SC11,2019-07-01_12-41-26,Optotagging,3,
11,SC11,8,D:\6.InVivo_V1_SST;Ai32\SC11,2019-07-01_13-17-10,VisualFlash_Opto,2,
11,SC11,8,D:\6.InVivo_V1_SST;Ai32\SC11,2019-07-01_13-45-35,Optotagging,4,
11,SC11,8,D:\6.InVivo_V1_SST;Ai32\SC11,2019-07-01_13-48-13,Baseline_Opto,6,
12,SC12,8,D:\6.InVivo_V1_SST;Ai32\SC12,2019-07-01_15-30-55,Baseline,5,
12,SC12,8,D:\6.InVivo_V1_SST;Ai32\SC12,2019-07-01_15-52-15,Optotagging,3,
12,SC12,8,D:\6.InVivo_V1_SST;Ai32\SC12,2019-07-01_15-57-46,VisualFlash,1,
12,SC12,8,D:\6.InVivo_V1_SST;Ai32\SC12,2019-07-01_16-25-38,VisualFlash_Opto,2,
12,SC12,8,D:\6.InVivo_V1_SST;Ai32\SC12,2019-07-01_16-53-17,Optotagging,4,
12,SC12,8,D:\6.InVivo_V1_SST;Ai32\SC12,2019-07-01_16-55-52,Baseline_Opto,6,
13,SC13,12,D:\6.InVivo_V1_SST;Ai32\SC13,2019-07-30_11-46-24,Baseline,4,
13,SC13,12,D:\6.InVivo_V1_SST;Ai32\SC13,2019-07-30_12-09-59,VisualFlash_Opto,1,
13,SC13,12,D:\6.InVivo_V1_SST;Ai32\SC13,2019-07-30_12-38-50,Optotagging,2,
13,SC13,12,D:\6.InVivo_V1_SST;Ai32\SC13,2019-07-30_12-43-01,Baseline_Opto,3,
14,SC14,12,D:\6.InVivo_V1_SST;Ai32\SC14,2019-07-30_14-43-23,Baseline,5,
14,SC14,12,D:\6.InVivo_V1_SST;Ai32\SC14,2019-07-30_15-03-40,Optotagging,2,
14,SC14,12,D:\6.InVivo_V1_SST;Ai32\SC14,2019-07-30_15-06-20,VisualFlash_Opto,1,
14,SC14,12,D:\6.InVivo_V1_SST;Ai32\SC14,2019-07-30_15-35-30,Optotagging,3,
14,SC14,12,D:\6.InVivo_V1_SST;Ai32\SC14,2019-07-30_15-38-11,Baseline_Opto,4,
15,SC15,12,D:\6.InVivo_V1_SST;Ai32\SC15,2019-07-30_16-57-07,Baseline,4,
15,SC15,12,D:\6.InVivo_V1_SST;Ai32\SC15,2019-07-30_17-17-23,Optotagging,2,
15,SC15,12,D:\6.InVivo_V1_SST;Ai32\SC15,2019-07-30_17-20-02,VisualFlash_Opto,1,
15,SC15,12,D:\6.InVivo_V1_SST;Ai32\SC15,2019-07-30_17-47-09,Optotagging,3,
16,SC18,13,D:\6.InVivo_V1_SST;Ai32\SC18,2019-10-01_12-24-50,Baseline,5,
16,SC18,13,D:\6.InVivo_V1_SST;Ai32\SC18,2019-10-01_12-42-50,VisualFlash_Opto,1,
16,SC18,13,D:\6.InVivo_V1_SST;Ai32\SC18,2019-10-01_13-14-18,Optotagging,2,
16,SC18,13,D:\6.InVivo_V1_SST;Ai32\SC18,2019-10-01_13-17-53,Baseline_Opto,4,
16,SC18,13,D:\6.InVivo_V1_SST;Ai32\SC18,2019-10-01_13-37-22,Optotagging,3,
17,SC19,13,D:\6.InVivo_V1_SST;Ai32\SC19,2019-10-01_15-26-29,Baseline,5,
17,SC19,13,D:\6.InVivo_V1_SST;Ai32\SC19,2019-10-01_15-47-46,VisualFlash_Opto,1,
17,SC19,13,D:\6.InVivo_V1_SST;Ai32\SC19,2019-10-01_16-16-47,Optotagging,2,
17,SC19,13,D:\6.InVivo_V1_SST;Ai32\SC19,2019-10-01_16-19-23,Baseline_Opto,4,
17,SC19,13,D:\6.InVivo_V1_SST;Ai32\SC19,2019-10-01_16-38-52,Optotagging,3,
19,SC20,14,D:\6.InVivo_V1_SST;Ai32\SC20,2019-10-02_11-49-43,Baseline,5,
19,SC20,14,D:\6.InVivo_V1_SST;Ai32\SC20,2019-10-02_12-11-34,VisualFlash_Opto,1,
19,SC20,14,D:\6.InVivo_V1_SST;Ai32\SC20,2019-10-02_12-57-19,Optotagging,2,
19,SC20,14,D:\6.InVivo_V1_SST;Ai32\SC20,2019-10-02_13-03-00,Baseline_Opto,4,
19,SC20,14,D:\6.InVivo_V1_SST;Ai32\SC20,2019-10-02_13-21-42,Optotagging,3,
20,SC21,14,D:\6.InVivo_V1_SST;Ai32\SC21,2019-10-02_14-56-29,Baseline,6,
20,SC21,14,D:\6.InVivo_V1_SST;Ai32\SC21,2019-10-02_15-17-57,Optotagging,2,
20,SC21,14,D:\6.InVivo_V1_SST;Ai32\SC21,2019-10-02_15-21-00,VisualFlash,0,
20,SC21,14,D:\6.InVivo_V1_SST;Ai32\SC21,2019-10-02_15-45-39,Optotagging,3,
20,SC21,14,D:\6.InVivo_V1_SST;Ai32\SC21,2019-10-02_15-48-10,VisualFlash_Opto,1,
20,SC21,14,D:\6.InVivo_V1_SST;Ai32\SC21,2019-10-02_16-17-01,Optotagging,4,
20,SC21,14,D:\6.InVivo_V1_SST;Ai32\SC21,2019-10-02_16-20-56,Baseline_Opto,5,
21,SC22,15,D:\6.InVivo_V1_SST;Ai32\SC22,2019-10-03_11-41-08,Failed,0,
21,SC22,15,D:\6.InVivo_V1_SST;Ai32\SC22,2019-10-03_11-59-17,Baseline,5,
21,SC22,15,D:\6.InVivo_V1_SST;Ai32\SC22,2019-10-03_12-23-45,VisualFlash_Opto,1,
21,SC22,15,D:\6.InVivo_V1_SST;Ai32\SC22,2019-10-03_12-58-34,Failed,0,
21,SC22,15,D:\6.InVivo_V1_SST;Ai32\SC22,2019-10-03_13-02-24,Failed,0,
21,SC22,15,D:\6.InVivo_V1_SST;Ai32\SC22,2019-10-03_13-04-40,Optotagging,2,
21,SC22,15,D:\6.InVivo_V1_SST;Ai32\SC22,2019-10-03_13-09-50,Baseline_Opto,4,
21,SC22,15,D:\6.InVivo_V1_SST;Ai32\SC22,2019-10-03_13-28-55,Optotagging,3,
21,SC22,15,D:\6.InVivo_V1_SST;Ai32\SC22,2019-10-03_13-46-41,Failed,0,
22,SC23,15,D:\6.InVivo_V1_SST;Ai32\SC23,2019-10-03_15-46-16,Baseline,5,
22,SC23,15,D:\6.InVivo_V1_SST;Ai32\SC23,2019-10-03_16-06-55,VisualFlash_Opto,1,
22,SC23,15,D:\6.InVivo_V1_SST;Ai32\SC23,2019-10-03_16-36-39,Optotagging,2,
22,SC23,15,D:\6.InVivo_V1_SST;Ai32\SC23,2019-10-03_16-39-43,Baseline_Opto,4,
22,SC23,15,D:\6.InVivo_V1_SST;Ai32\SC23,2019-10-03_16-59-17,Optotagging,3,
23,SC24,7,D:\6.InVivo_V1_SST;Ai32\SC24,2020-02-14_12-28-36,Baseline,4,
23,SC24,7,D:\6.InVivo_V1_SST;Ai32\SC24,2020-02-14_13-01-40,Optotagging,2,
23,SC24,7,D:\6.InVivo_V1_SST;Ai32\SC24,2020-02-14_13-06-13,VisualFlash_Opto,1,
23,SC24,7,D:\6.InVivo_V1_SST;Ai32\SC24,2020-02-14_13-47-51,Optotagging,3,
23,SC24,7,D:\6.InVivo_V1_SST;Ai32\SC24,2020-02-14_13-50-27,Optotagging,0,
24,SC25,7,D:\6.InVivo_V1_SST;Ai32\SC25,2020-02-14_15-31-50,Baseline,4,
24,SC25,7,D:\6.InVivo_V1_SST;Ai32\SC25,2020-02-14_16-02-14,Optotagging,2,
24,SC25,7,D:\6.InVivo_V1_SST;Ai32\SC25,2020-02-14_16-04-58,Optotagging,0,
24,SC25,7,D:\6.InVivo_V1_SST;Ai32\SC25,2020-02-14_16-16-28,VisualFlash_Opto,1,
24,SC25,7,D:\6.InVivo_V1_SST;Ai32\SC25,2020-02-14_16-57-56,Optotagging,3,
24,SC25,7,D:\6.InVivo_V1_SST;Ai32\SC25,2020-02-14_17-00-35,Optotagging,0,
25,SC26,12,D:\6.InVivo_V1_SST;Ai32\SC26,2020-02-19_12-40-58,Baseline,4,
25,SC26,12,D:\6.InVivo_V1_SST;Ai32\SC26,2020-02-19_13-15-42,Optotagging,2,
25,SC26,12,D:\6.InVivo_V1_SST;Ai32\SC26,2020-02-19_13-18-28,VisualFlash_Opto,1,
25,SC26,12,D:\6.InVivo_V1_SST;Ai32\SC26,2020-02-19_14-07-11,Optotagging,3,
25,SC26,12,D:\6.InVivo_V1_SST;Ai32\SC26,2020-02-19_14-09-48,Optotagging,0,
26,SC27,12,D:\6.InVivo_V1_SST;Ai32\SC27,2020-02-19_15-56-05,Baseline,4,
26,SC27,12,D:\6.InVivo_V1_SST;Ai32\SC27,2020-02-19_16-27-33,Optotagging,2,
26,SC27,12,D:\6.InVivo_V1_SST;Ai32\SC27,2020-02-19_16-32-31,VisualFlash_Opto,1,
26,SC27,12,D:\6.InVivo_V1_SST;Ai32\SC27,2020-02-19_17-15-23,Optotagging,3,
26,SC27,12,D:\6.InVivo_V1_SST;Ai32\SC27,2020-02-19_17-17-58,Optotagging,0,
27,SC28,17,D:\6.InVivo_V1_SST;Ai32\SC28,2020-02-24_12-56-12,Baseline,4,
27,SC28,17,D:\6.InVivo_V1_SST;Ai32\SC28,2020-02-24_13-20-31,Optotagging,2,
27,SC28,17,D:\6.InVivo_V1_SST;Ai32\SC28,2020-02-24_13-23-01,VisualFlash_Opto,1,
27,SC28,17,D:\6.InVivo_V1_SST;Ai32\SC28,2020-02-24_14-05-27,Optotagging,3,
27,SC28,17,D:\6.InVivo_V1_SST;Ai32\SC28,2020-02-24_14-08-00,Optotagging,0,
27,SC28,17,D:\6.InVivo_V1_SST;Ai32\SC28,2020-02-24_14-10-34,VisualFlash,0,
28,SC29,18,D:\6.InVivo_V1_SST;Ai32\SC29,2020-02-25_12-33-00,Baseline,4,
28,SC29,18,D:\6.InVivo_V1_SST;Ai32\SC29,2020-02-25_13-04-28,Optotagging,2,
28,SC29,18,D:\6.InVivo_V1_SST;Ai32\SC29,2020-02-25_13-12-43,VisualFlash_Opto,1,
28,SC29,18,D:\6.InVivo_V1_SST;Ai32\SC29,2020-02-25_14-03-09,Optotagging,3,
28,SC29,18,D:\6.InVivo_V1_SST;Ai32\SC29,2020-02-25_14-06-00,Optotagging,0,
28,SC29,18,D:\6.InVivo_V1_SST;Ai32\SC29,2020-02-25_14-08-58,VisualFlash,0,
29,SC30,18,D:\6.InVivo_V1_SST;Ai32\SC30,2020-02-25_16-00-23,Baseline,4,
29,SC30,18,D:\6.InVivo_V1_SST;Ai32\SC30,2020-02-25_16-31-04,Optotagging,2,
29,SC30,18,D:\6.InVivo_V1_SST;Ai32\SC30,2020-02-25_16-33-38,VisualFlash_Opto,1,
29,SC30,18,D:\6.InVivo_V1_SST;Ai32\SC30,2020-02-25_17-16-37,Optotagging,3,
29,SC30,18,D:\6.InVivo_V1_SST;Ai32\SC30,2020-02-25_17-20-05,Optotagging,0,
29,SC30,18,D:\6.InVivo_V1_SST;Ai32\SC30,2020-02-25_17-22-52,VisualFlash,0,
